player;age;height;nationality;position;value;games;minutes;goals;assists;crosses;tackles;pressures;blocks;touches;fouls;fouled;offsides;own goals;ball recoveries;saves;squad;Season;league;Attendance;games starts;passes completed;sca;gca;dribbles completed;pens won;goals against gk;shots on target against;CLBestScorer;cards yellow;shots total;LgRk;MP;W;D;L;GF;GA;Pts;CL;WinCL
Wesley Lautoa;31;184;New Caledonia;Midfield;1000000;23;1869;0;1;2;60;377;46;1222;25;31;1;0;222;0;Dijon;01/01/2019;Ligue 1;12707;21;867;18;2;13;0;0;0;No;3;11;16;28;7;9;12;27;37;30;No;No
Wesley Fofana;18;190;France;Defender;5000000;14;1215;1;0;2;28;139;22;822;14;16;0;0;146;0;Saint-Étienne;01/01/2019;Ligue 1;23205;13;536;7;0;6;0;0;0;No;4;6;17;28;8;6;14;29;45;30;No;No
Wes Morgan;35;185;Jamaica;Defender;1000000;11;436;0;0;0;5;30;6;288;4;1;0;0;43;0;Leicester City;01/01/2019;Premier League;25312;4;220;6;0;2;0;0;0;No;0;3;5;38;18;8;12;67;41;62;No;No
Wendell;26;176;Brazil;Defender;7500000;24;1903;0;2;20;74;314;47;2137;31;24;1;0;272;0;Leverkusen;01/01/2019;Bundesliga;21236;21;1612;30;7;11;0;0;0;No;6;11;5;34;19;6;9;61;44;63;No;No
Wayne Hennessey;32;197;United Kingdom;Goalkeeper;2000000;3;270;0;0;0;0;0;0;116;0;0;0;0;7;14;Crystal Palace;01/01/2019;Premier League;19784;3;44;1;0;0;0;8;22;No;0;0;14;38;11;10;17;31;50;43;No;No
Walter Benítez;26;191;Argentina;Goalkeeper;8000000;26;2340;0;0;0;0;4;0;842;0;2;0;0;105;99;Nice;01/01/2019;Ligue 1;19225;26;654;2;0;0;0;36;129;No;0;0;5;28;11;8;9;41;38;41;No;No
Waldo Rubio;23;181;Spain;Midfield;80000;21;878;0;2;30;15;171;12;424;19;5;4;0;66;0;Valladolid;01/01/2019;La Liga;13580;9;188;35;3;20;0;0;0;;6;17;13;38;9;15;14;32;43;42;No;No
Walace;24;188;Brazil;Midfield;5000000;20;1139;0;0;2;34;264;35;851;24;15;1;0;141;0;Udinese;01/01/2019;Serie A;13841;12;611;23;1;15;0;0;0;;2;10;13;38;12;9;17;37;51;45;No;No
Wakaso;29;171;Ghana;Midfield;2000000;16;1283;0;0;18;51;339;24;672;41;24;0;0;139;0;Alavés;01/01/2019;La Liga;12177;15;351;8;0;24;0;0;0;No;12;14;16;38;10;9;19;34;59;39;No;No
Wahbi Khazri;28;182;Tunisia;Forward;7000000;16;1149;3;2;22;18;250;13;547;21;19;5;0;51;0;Saint-Étienne;01/01/2019;Ligue 1;23205;13;224;35;5;19;0;0;0;No;4;45;17;28;8;6;14;29;45;30;No;No
Vukašin Jovanović;23;188;Serbia;Defender;2000000;9;573;0;1;0;24;67;10;519;9;8;0;0;61;0;Bordeaux;01/01/2019;Ligue 1;23430;5;403;6;2;2;0;0;0;No;4;0;12;28;9;10;9;40;34;37;No;No
Vlatko Stojanovski;22;186;Macedonia;Forward;40000;6;123;0;0;1;2;19;0;40;0;1;0;0;6;0;Nîmes;01/01/2019;Ligue 1;12555;1;20;5;0;1;0;0;0;No;0;2;18;28;7;6;15;29;44;27;No;No
Vladimír Darida;28;172;Czech Republic;Midfield;5500000;28;2256;3;4;44;56;630;49;1468;38;24;3;0;232;0;Hertha BSC;01/01/2019;Bundesliga;37689;25;843;85;7;31;0;0;0;No;8;43;10;34;11;8;15;48;59;41;No;No
Vlad Chiricheș;29;184;Romania;Defender;4000000;9;707;0;0;1;19;85;17;574;8;3;1;0;75;0;Sassuolo;01/01/2019;Serie A;7704;8;455;2;1;2;0;0;0;No;0;2;8;38;14;9;15;69;63;51;No;No
Vitorino Hilton;41;180;Brazil;Defender;100;28;2510;0;2;4;36;170;37;1667;17;31;0;0;308;0;Montpellier;01/01/2019;Ligue 1;14147;28;1093;25;4;5;1;0;0;No;2;12;8;28;11;7;10;35;34;40;No;No
Vitorino Antunes;32;175;Portugal;Midfield;1000000;1;6;0;0;1;0;2;1;3;0;0;0;0;0;0;Getafe;01/01/2019;La Liga;8000;0;0;0;0;0;0;0;0;No;0;0;8;38;14;12;12;43;37;54;No;No
Vitolo;29;185;Spain;Midfield;10000000;28;1227;3;2;10;17;265;30;737;26;43;8;0;106;0;Atlético Madrid;01/01/2019;La Liga;42236;11;449;39;3;36;0;0;0;No;3;17;3;38;18;16;4;51;27;70;Yes;No
Virgil van Dijk;28;193;Netherlands;Defender;80000000;38;3420;5;1;0;30;133;32;3465;16;25;1;0;505;0;Liverpool;01/01/2019;Premier League;41955;38;2791;24;6;3;0;0;0;No;1;30;1;38;32;3;3;85;33;99;Yes;Yes
Vinícius Júnior;19;176;Brazil;Forward;50000000;29;1364;3;1;40;27;299;19;766;19;26;9;0;84;0;Real Madrid;01/01/2019;La Liga;45833;12;421;54;6;53;1;0;0;No;4;39;1;38;26;9;3;70;25;87;Yes;No
Vincenzo Millico;18;174;Italy;Midfield;1000000;11;216;0;0;16;1;42;4;114;5;3;0;0;6;0;Torino;01/01/2019;Serie A;13338;0;60;6;0;6;0;0;0;;0;6;16;38;11;7;20;46;68;40;No;No
Vincenzo Grifo;26;180;Italy;Midfield;5000000;26;1618;4;8;45;18;232;23;992;10;15;6;0;146;0;Freiburg;01/01/2019;Bundesliga;16888;17;553;75;11;26;0;0;0;No;1;48;8;34;13;9;12;48;47;48;No;No
Vincenzo Grifo;26;180;Italy;Midfield;5000000;1;15;0;0;1;0;2;0;14;0;0;0;0;1;0;Hoffenheim;01/01/2019;Bundesliga;20449;0;11;0;0;0;0;0;0;No;0;0;6;34;15;7;12;53;53;52;No;No
Vincent Pajot;28;180;France;Midfield;1000000;6;113;0;1;1;1;53;3;63;2;0;0;0;12;0;Angers;01/01/2019;Ligue 1;9825;1;36;4;1;1;0;0;0;No;0;3;11;28;11;6;11;28;33;39;No;No
Vincent Pajot;28;180;France;Midfield;1000000;7;519;0;3;2;20;112;7;310;13;4;1;0;57;0;Metz;01/01/2019;Ligue 1;16583;7;197;14;3;3;0;0;0;No;0;6;15;28;8;10;10;27;35;34;No;No
Vincent Manceau;30;176;France;Defender;1000000;22;1980;0;0;41;49;290;47;1535;14;11;1;0;174;0;Angers;01/01/2019;Ligue 1;9825;22;1063;30;1;6;0;0;0;No;1;8;11;28;11;6;11;28;33;39;No;No
Vincent Laurini;30;173;France;Defender;1000000;15;884;0;2;15;29;138;18;637;13;20;0;0;64;0;Parma;01/01/2019;Serie A;10245;10;432;13;2;9;0;0;0;No;4;0;11;38;14;7;17;56;57;49;No;No
